,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
0,2024-04-25,20:00,EGKK,Brighton,Man City,0,4,A,0,3,A,J Gillett,7,14,3,6,10,3,4,4,2,0,0,0,6.5680000000000005,4.890000000000001,1.4260000000000002,1748.39868164,2038.48059082,44.75,78.125,5.6875,Fair
1,2024-04-24,20:00,EGCC,Man United,Sheffield United,4,2,H,1,1,D,M Salisbury,25,10,13,4,7,9,9,4,0,1,0,0,1.304,6.056,8.154,1793.20983887,1551.76660156,44.979166666666664,62.333333333333336,7.0625,Mostly Cloudy
2,2024-04-24,20:00,EGGP,Everton,Liverpool,2,0,H,1,0,H,A Madley,16,23,6,7,6,13,4,13,0,3,0,0,7.048,4.91,1.41,1692.96240234,1923.58178711,45.833333333333336,65.52380952380952,7.595238095238095,Partly Cloudy
3,2024-04-24,20:00,EGLC,Crystal Palace,Newcastle,2,0,H,0,0,D,T Bramall,20,7,7,2,10,15,7,2,3,3,0,0,2.742,3.62,2.41,1708.83105469,1811.57678223,45.979166666666664,59.25,7.604166666666667,Fair
4,2024-04-24,19:45,EGBB,Wolves,Bournemouth,0,1,A,0,1,A,S Attwell,15,21,4,6,10,17,8,12,4,1,0,1,2.6979999999999995,3.586,2.476,1711.06799316,1695.03344727,43.958333333333336,69.20833333333333,6.520833333333333,Fair
5,2024-04-23,20:00,EGLC,Arsenal,Chelsea,5,0,H,1,0,H,S Hooper,27,7,10,1,12,11,4,2,2,2,0,0,1.4460000000000002,4.926,6.851999999999999,1931.63696289,1784.74694824,46.416666666666664,74.27083333333333,6.520833333333333,Cloudy
6,2024-04-21,15:00,EGBB,Aston Villa,Bournemouth,3,1,H,1,1,D,T Robinson,14,14,4,6,8,14,8,4,1,3,0,0,1.844,4.074,3.656,1833.84594727,1700.25769043,46.77777777777778,61.577777777777776,7.911111111111111,Fair
7,2024-04-21,15:00,EGLC,Crystal Palace,West Ham,5,2,H,4,1,H,G Scott,18,4,7,1,9,9,4,0,3,2,0,0,2.1239999999999997,3.532,3.31,1694.42871094,1756.26245117,46.9375,61.416666666666664,8.75,Fair
8,2024-04-21,16:30,EGLC,Fulham,Liverpool,1,3,A,1,1,D,C Pawson,12,14,5,7,5,11,1,4,3,0,0,0,5.128,4.598000000000001,1.5500000000000005,1728.60229492,1917.14160156,46.9375,61.416666666666664,8.75,Fair
9,2024-04-20,19:30,EGBB,Wolves,Arsenal,0,2,A,0,1,A,P Tierney,5,24,3,9,14,9,1,2,3,2,0,0,8.004,4.848000000000001,1.376,1717.08544922,1925.61938477,43.916666666666664,67.64583333333333,6.916666666666667,Fair
10,2024-04-20,15:00,EGCN,Sheffield United,Burnley,1,4,A,0,2,A,A Madley,18,16,11,9,10,9,11,2,1,0,0,0,2.7339999999999995,3.5879999999999996,2.428,1565.45117188,1622.92871094,49.35287081339713,80.27083333333333,8.452570921985817,Fair
11,2024-04-20,15:00,EGGW,Luton,Brentford,1,5,A,0,2,A,J Gillett,6,21,3,9,13,9,4,9,1,2,0,0,3.1159999999999997,3.702,2.152,1601.02880859,1718.25720215,42.625,70.02083333333333,11.0,Fair
12,2024-04-15,20:00,EGLC,Chelsea,Everton,6,0,H,4,0,H,P Tierney,14,10,10,2,5,21,4,8,1,4,0,0,1.6759999999999995,4.178,4.544,1779.08996582,1702.97009277,49.708333333333336,61.854166666666664,18.958333333333332,Fair
13,2024-04-14,16:30,EGLC,Arsenal,Aston Villa,0,2,A,0,0,D,D Coote,18,11,4,2,12,7,4,6,3,1,0,0,1.272,5.904,9.95,1958.4987793,1828.61437988,54.020833333333336,55.875,10.770833333333334,Fair
